FIPS,State,County,LACCESS_POP10,LACCESS_POP15,PCH_LACCESS_POP_10_15,PCT_LACCESS_POP10,PCT_LACCESS_POP15,LACCESS_LOWI10,LACCESS_LOWI15,PCH_LACCESS_LOWI_10_15,PCT_LACCESS_LOWI10,PCT_LACCESS_LOWI15,LACCESS_HHNV10,LACCESS_HHNV15,PCH_LACCESS_HHNV_10_15,PCT_LACCESS_HHNV10,PCT_LACCESS_HHNV15,LACCESS_SNAP15,PCT_LACCESS_SNAP15,LACCESS_CHILD10,LACCESS_CHILD15,LACCESS_CHILD_10_15,PCT_LACCESS_CHILD10,PCT_LACCESS_CHILD15,LACCESS_SENIORS10,LACCESS_SENIORS15,PCH_LACCESS_SENIORS_10_15,PCT_LACCESS_SENIORS10,PCT_LACCESS_SENIORS15,LACCESS_WHITE15,PCT_LACCESS_WHITE15,LACCESS_BLACK15,PCT_LACCESS_BLACK15,LACCESS_HISP15,PCT_LACCESS_HISP15,LACCESS_NHASIAN15,PCT_LACCESS_NHASIAN15,LACCESS_NHNA15,PCT_LACCESS_NHNA15,LACCESS_NHPI15,PCT_LACCESS_NHPI15,LACCESS_MULTIR15,PCT_LACCESS_MULTIR15
01001,AL,Autauga,18428.43969,17496.69304,-5.056025704,33.7696573,32.06225475,5344.427472,6543.676824,22.43924831,9.793530396,11.991125,664.2164872,677.6727692,2.025887979,3.284785556,3.351331631,931.9351864,4.608749253,4822.500269,4616.97148,-4.261872005,8.837111779,8.460485386,2388.233228,2180.809285,-8.68524653,4.376377982,3.996278765,12640.61541,23.1636133,4216.473194,7.726582239,471.1361644,0.863345301,86.76797517,0.159000156,61.16986917,0.112092264,8.817960727,0.016158694,482.8486329,0.884808109
01003,AL,Baldwin,35210.81408,30561.26443,-13.20489108,19.3184726,16.76748933,9952.144027,9886.831137,-0.656269542,5.460260624,5.424426597,1571.779915,1394.162766,-11.30038292,2.14782716,1.905114466,950.5352897,1.298900369,7916.131932,7007.972675,-11.47226024,4.34319915,3.844936041,6404.008603,5580.66279,-12.8567256,3.513570133,3.061840062,25483.18681,13.98139347,3540.965826,1.94275688,1377.874834,0.755973354,212.9463784,0.11683339,181.6496483,0.099662386,14.81963381,0.008130817,1127.696098,0.618712368
01005,AL,Barbour,5722.305602,6069.523628,6.067799405,20.84097171,22.10556007,3135.676086,2948.790251,-5.959985343,11.42031572,10.73966657,406.1423722,425.1449274,4.678791595,4.135869371,4.329378079,422.5690403,4.30314705,940.4193265,1031.927776,9.730600738,3.425062194,3.758341321,770.2145501,824.1752624,7.005932608,2.805166443,3.001694513,2828.876711,10.30293444,2713.12493,9.881359689,509.3775251,1.85518274,17.09641004,0.062266125,39.96052669,0.145538576,8.082375985,0.029436486,462.382655,1.684024675
01007,AL,Bibb,1044.867327,969.378841,-7.224695844,4.559752683,4.230324421,491.4490662,596.1628288,21.30714448,2.144660992,2.601627008,275.060875,224.3881246,-18.42237664,3.458580095,2.821427444,53.81877202,0.676710323,249.2047527,232.6426702,-6.645973782,1.087518013,1.015241851,150.5533234,137.6882309,-8.545206548,0.657007739,0.600865071,540.5122387,2.358770407,419.0999425,1.828932762,8.596762482,0.037515874,1.994317987,0.008703111,2.513097181,0.01096704,0,0,5.259244042,0.022951098
01009,AL,Blount,1548.175559,3724.428242,140.5688567,2.700840095,6.497380137,609.0277084,1650.959482,171.0811772,1.062467654,2.880149823,705.4667827,719.931444,2.050367451,3.269379844,3.336414144,175.3703384,0.812727493,384.9116074,910.686113,136.596168,0.671490191,1.58872006,195.0490512,505.9142824,159.3779766,0.340269096,0.882583096,3387.241266,5.909147039,95.84268727,0.167200529,497.4898913,0.867886486,8.428994396,0.014704641,28.93824223,0.050483658,1.062851177,0.001854177,202.9141865,0.353990068
01011,AL,Bullock,4089.983548,4141.900365,1.269364948,37.47465226,37.95034236,2199.359828,2154.7893,-2.026522788,20.15173014,19.74335074,272.8442583,415.8613008,52.41709811,7.285560969,11.10444061,225.322525,6.01662283,607.0978682,616.7153899,1.584179782,5.56256064,5.650681601,554.3880207,566.5393544,2.191846354,5.079604368,5.190941491,1462.196457,13.39743867,2634.506685,24.13878216,24.07888941,0.220623872,0.968748205,0.008876198,7.70528758,0.070600033,0,0,36.52317132,0.334645147
01013,AL,Butler,1307.819706,1304.328756,-0.266928936,6.243470213,6.226804584,593.2251386,612.9347608,3.322452285,2.832029115,2.926121931,395.0316718,320.168301,-18.95123254,4.652357458,3.770678378,91.43779529,1.076878993,264.8260771,264.1401156,-0.259023413,1.264267328,1.260992579,254.9544283,254.7681402,-0.073067226,1.217140537,1.216251206,729.7324117,3.483708463,550.9011026,2.629976143,11.08490189,0.052918804,4.955498356,0.023657318,7.298759186,0.034843936,0,0,11.44098716,0.054618739
01015,AL,Calhoun,30901.15059,27785.98677,-10.08106093,26.06108574,23.43385181,11909.16286,10883.20997,-8.614819542,10.04382389,9.178566583,1252.150186,1235.289629,-1.346528287,2.64551813,2.60989548,1931.256358,4.080320208,6959.887106,6167.764487,-11.38125673,5.869756019,5.201704017,4974.957133,4455.312468,-10.4452089,4.195726759,3.757474335,21058.35896,17.75997618,5465.72518,4.609625527,970.8931906,0.818821636,235.0712025,0.198251866,118.2965151,0.099767664,21.96150679,0.018521663,886.5734644,0.747708957
01017,AL,Chambers,6748.213223,7131.505717,5.679910836,19.72296719,20.84321414,3018.284747,3533.916216,17.08359259,8.821524906,10.32855828,616.6968134,730.2010667,18.40519536,4.426159574,5.24080289,502.6320283,3.607493206,1531.676677,1595.35385,4.157350821,4.476623344,4.662732281,1170.805467,1266.433475,8.167711045,3.421906963,3.701398436,4281.110416,12.51237883,2616.963013,7.648583993,126.7866311,0.370558618,108.4934056,0.317093104,20.68814574,0.060465134,0.061101226,0.00017858,104.1896201,0.304514453
01019,AL,Cherokee,79.41023456,103.5224989,30.36417718,0.305553252,0.398331982,34.48386235,57.46490172,66.64288106,0.132686376,0.2211124,378.7374593,299.8869228,-20.81931283,3.564252393,2.822199537,4.888563305,0.046005678,17.32604694,18.74760093,8.204722049,0.066666847,0.072136677,9.222339636,13.77900349,49.40897903,0.03548555,0.053018598,100.8908362,0.388205919,1.410913298,0.005428886,0.348952026,0.001342691,0,0,0.217044921,0.000835141,0,0,1.003704677,0.003862037
